<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	01:16:00	0.90724	0.90724	0.90719	0.90719	10	0	18
2025.01.02	01:17:00	0.90719	0.90722	0.90717	0.90722	17	0	18
2025.01.02	01:18:00	0.90722	0.90722	0.90719	0.90719	14	0	17
2025.01.02	01:19:00	0.90719	0.90722	0.90711	0.90716	31	0	17
2025.01.02	01:20:00	0.90716	0.90723	0.90716	0.90720	13	0	18
2025.01.02	01:21:00	0.90720	0.90726	0.90717	0.90717	7	0	18
2025.01.02	01:22:00	0.90717	0.90718	0.90716	0.90716	12	0	17
2025.01.02	01:23:00	0.90716	0.90729	0.90716	0.90727	14	0	17
2025.01.02	01:24:00	0.90727	0.90728	0.90725	0.90725	11	0	17
2025.01.02	01:25:00	0.90725	0.90729	0.90723	0.90726	36	0	17
2025.01.02	01:26:00	0.90726	0.90726	0.90724	0.90725	41	0	17
2025.01.02	01:27:00	0.90725	0.90731	0.90724	0.90729	40	0	17
2025.01.02	01:28:00	0.90729	0.90731	0.90728	0.90730	44	0	17
2025.01.02	01:29:00	0.90730	0.90734	0.90729	0.90734	41	0	17
2025.01.02	01:30:00	0.90734	0.90748	0.90733	0.90742	50	0	18
2025.01.02	01:31:00	0.90739	0.90745	0.90737	0.90742	46	0	18
2025.01.02	01:32:00	0.90742	0.90754	0.90742	0.90749	51	0	18
2025.01.02	01:33:00	0.90748	0.90756	0.90748	0.90755	60	0	18
2025.01.02	01:34:00	0.90755	0.90755	0.90749	0.90750	33	0	18
2025.01.02	01:35:00	0.90750	0.90751	0.90746	0.90748	46	0	18
2025.01.02	01:36:00	0.90751	0.90763	0.90747	0.90753	59	0	18
2025.01.02	01:37:00	0.90754	0.90760	0.90753	0.90759	48	0	19
2025.01.02	01:38:00	0.90760	0.90764	0.90758	0.90761	37	0	19
2025.01.02	01:39:00	0.90761	0.90762	0.90756	0.90758	46	0	18
2025.01.02	01:40:00	0.90758	0.90760	0.90757	0.90757	47	0	18
2025.01.02	01:41:00	0.90756	0.90757	0.90754	0.90757	46	0	18
2025.01.02	01:42:00	0.90756	0.90759	0.90750	0.90750	42	0	18
2025.01.02	01:43:00	0.90751	0.90758	0.90750	0.90753	59	0	18
2025.01.02	01:44:00	0.90753	0.90761	0.90753	0.90759	51	0	18
2025.01.02	01:45:00	0.90759	0.90764	0.90758	0.90759	40	0	18
2025.01.02	01:46:00	0.90759	0.90760	0.90755	0.90758	16	0	18
2025.01.02	01:47:00	0.90758	0.90758	0.90756	0.90757	32	0	18
2025.01.02	01:48:00	0.90757	0.90757	0.90747	0.90747	41	0	18
2025.01.02	01:49:00	0.90746	0.90756	0.90746	0.90753	39	0	18
2025.01.02	01:50:00	0.90754	0.90760	0.90752	0.90752	42	0	18
2025.01.02	01:51:00	0.90752	0.90754	0.90751	0.90753	34	0	18
2025.01.02	01:52:00	0.90753	0.90757	0.90746	0.90753	34	0	18
2025.01.02	01:53:00	0.90753	0.90758	0.90752	0.90758	35	0	18
2025.01.02	01:54:00	0.90758	0.90766	0.90757	0.90764	37	0	18
2025.01.02	01:55:00	0.90763	0.90767	0.90763	0.90764	22	0	18
2025.01.02	01:56:00	0.90764	0.90768	0.90758	0.90765	49	0	18
2025.01.02	01:57:00	0.90765	0.90773	0.90764	0.90773	14	0	18
2025.01.02	01:58:00	0.90774	0.90774	0.90768	0.90769	25	0	18
2025.01.02	01:59:00	0.90769	0.90777	0.90764	0.90764	30	0	18
2025.01.02	02:00:00	0.90766	0.90773	0.90763	0.90768	27	0	19
2025.01.02	02:01:00	0.90768	0.90774	0.90764	0.90772	25	0	19
2025.01.02	02:02:00	0.90773	0.90776	0.90768	0.90770	22	0	19
2025.01.02	02:03:00	0.90771	0.90774	0.90765	0.90766	14	0	19
2025.01.02	02:04:00	0.90766	0.90768	0.90761	0.90768	15	0	19
2025.01.02	02:05:00	0.90766	0.90766	0.90756	0.90756	14	0	18
2025.01.02	02:06:00	0.90756	0.90763	0.90756	0.90763	10	0	18
2025.01.02	02:07:00	0.90763	0.90768	0.90757	0.90759	13	0	17
2025.01.02	02:08:00	0.90759	0.90762	0.90757	0.90762	9	0	18
2025.01.02	02:09:00	0.90761	0.90762	0.90758	0.90759	7	0	17
2025.01.02	02:10:00	0.90758	0.90758	0.90748	0.90749	20	0	17
2025.01.02	02:11:00	0.90749	0.90757	0.90749	0.90754	21	0	17
2025.01.02	02:12:00	0.90754	0.90758	0.90753	0.90753	24	0	18
2025.01.02	02:13:00	0.90753	0.90759	0.90751	0.90759	11	0	17
2025.01.02	02:14:00	0.90759	0.90766	0.90759	0.90765	18	0	17
2025.01.02	02:15:00	0.90765	0.90769	0.90762	0.90769	6	0	17
2025.01.02	02:16:00	0.90768	0.90768	0.90748	0.90759	17	0	17
2025.01.02	02:17:00	0.90759	0.90759	0.90746	0.90748	21	0	18
2025.01.02	02:18:00	0.90749	0.90754	0.90746	0.90752	20	0	18
2025.01.02	02:19:00	0.90752	0.90758	0.90749	0.90754	27	0	18
2025.01.02	02:20:00	0.90754	0.90754	0.90740	0.90740	19	0	18
2025.01.02	02:21:00	0.90740	0.90744	0.90740	0.90744	10	0	18
2025.01.02	02:22:00	0.90744	0.90748	0.90738	0.90738	26	0	17
2025.01.02	02:23:00	0.90739	0.90742	0.90734	0.90738	14	0	19
2025.01.02	02:24:00	0.90739	0.90743	0.90738	0.90743	8	0	18
2025.01.02	02:25:00	0.90743	0.90744	0.90739	0.90739	8	0	17
2025.01.02	02:26:00	0.90737	0.90738	0.90735	0.90737	6	0	17
2025.01.02	02:27:00	0.90737	0.90739	0.90736	0.90738	8	0	16
2025.01.02	02:28:00	0.90738	0.90738	0.90737	0.90738	5	0	15
2025.01.02	02:29:00	0.90738	0.90738	0.90725	0.90726	23	0	15
2025.01.02	02:30:00	0.90726	0.90736	0.90725	0.90731	24	0	16
2025.01.02	02:31:00	0.90730	0.90732	0.90728	0.90728	16	0	17
2025.01.02	02:32:00	0.90728	0.90729	0.90712	0.90716	12	0	16
2025.01.02	02:33:00	0.90711	0.90713	0.90708	0.90711	20	0	19
2025.01.02	02:34:00	0.90708	0.90713	0.90705	0.90706	12	0	19
2025.01.02	02:35:00	0.90707	0.90711	0.90706	0.90707	7	0	19
2025.01.02	02:36:00	0.90706	0.90709	0.90705	0.90708	7	0	19
2025.01.02	02:37:00	0.90708	0.90708	0.90702	0.90703	11	0	18
2025.01.02	02:38:00	0.90702	0.90702	0.90687	0.90693	19	0	18
2025.01.02	02:39:00	0.90693	0.90703	0.90693	0.90699	20	0	19
2025.01.02	02:40:00	0.90699	0.90702	0.90694	0.90698	17	0	19
2025.01.02	02:41:00	0.90698	0.90701	0.90697	0.90701	17	0	18
2025.01.02	02:42:00	0.90701	0.90704	0.90700	0.90704	9	0	17
2025.01.02	02:43:00	0.90704	0.90705	0.90695	0.90695	16	0	16
2025.01.02	02:44:00	0.90695	0.90699	0.90693	0.90699	12	0	16
2025.01.02	02:45:00	0.90699	0.90700	0.90691	0.90692	15	0	16
2025.01.02	02:46:00	0.90692	0.90696	0.90691	0.90691	11	0	16
2025.01.02	02:47:00	0.90691	0.90691	0.90680	0.90680	24	0	16
2025.01.02	02:48:00	0.90680	0.90688	0.90679	0.90688	18	0	17
2025.01.02	02:49:00	0.90688	0.90688	0.90679	0.90682	12	0	17
2025.01.02	02:50:00	0.90682	0.90685	0.90675	0.90677	16	0	16
2025.01.02	02:51:00	0.90676	0.90676	0.90666	0.90670	14	0	16
2025.01.02	02:52:00	0.90670	0.90673	0.90663	0.90665	11	0	16
2025.01.02	02:53:00	0.90665	0.90665	0.90657	0.90657	14	0	16
2025.01.02	02:54:00	0.90656	0.90658	0.90652	0.90655	17	0	16
2025.01.02	02:55:00	0.90654	0.90654	0.90647	0.90650	25	0	17
2025.01.02	02:56:00	0.90650	0.90656	0.90649	0.90650	16	0	18
2025.01.02	02:57:00	0.90650	0.90650	0.90648	0.90650	7	0	18
2025.01.02	02:58:00	0.90650	0.90671	0.90649	0.90670	32	0	18
2025.01.02	02:59:00	0.90670	0.90680	0.90670	0.90679	13	0	19
2025.01.02	03:00:00	0.90679	0.90705	0.90677	0.90692	59	0	19
2025.01.02	03:01:00	0.90693	0.90725	0.90692	0.90721	29	0	19
2025.01.02	03:02:00	0.90723	0.90729	0.90718	0.90722	42	0	19
2025.01.02	03:03:00	0.90721	0.90724	0.90704	0.90708	52	0	19
2025.01.02	03:04:00	0.90705	0.90713	0.90705	0.90713	34	0	19
2025.01.02	03:05:00	0.90713	0.90718	0.90710	0.90718	34	0	19
2025.01.02	03:06:00	0.90718	0.90718	0.90705	0.90705	26	0	19
2025.01.02	03:07:00	0.90705	0.90730	0.90704	0.90730	38	0	19
2025.01.02	03:08:00	0.90730	0.90735	0.90729	0.90734	21	0	19
2025.01.02	03:09:00	0.90734	0.90737	0.90728	0.90728	19	0	18
2025.01.02	03:10:00	0.90728	0.90731	0.90721	0.90722	26	0	17
2025.01.02	03:11:00	0.90723	0.90724	0.90712	0.90724	28	0	18
2025.01.02	03:12:00	0.90724	0.90728	0.90722	0.90727	16	0	17
2025.01.02	03:13:00	0.90727	0.90727	0.90712	0.90712	30	0	17
2025.01.02	03:14:00	0.90712	0.90715	0.90707	0.90715	18	0	17
2025.01.02	03:15:00	0.90715	0.90715	0.90699	0.90703	41	0	17
2025.01.02	03:16:00	0.90703	0.90711	0.90703	0.90711	39	0	17
2025.01.02	03:17:00	0.90711	0.90728	0.90711	0.90728	21	0	17
2025.01.02	03:18:00	0.90728	0.90732	0.90723	0.90732	15	0	16
2025.01.02	03:19:00	0.90732	0.90732	0.90725	0.90726	23	0	16
2025.01.02	03:20:00	0.90726	0.90727	0.90720	0.90722	19	0	16
2025.01.02	03:21:00	0.90722	0.90724	0.90717	0.90719	20	0	16
2025.01.02	03:22:00	0.90720	0.90720	0.90709	0.90711	25	0	16
2025.01.02	03:23:00	0.90711	0.90716	0.90707	0.90707	20	0	16
2025.01.02	03:24:00	0.90707	0.90707	0.90698	0.90698	24	0	16
2025.01.02	03:25:00	0.90698	0.90698	0.90687	0.90688	29	0	15
2025.01.02	03:26:00	0.90688	0.90688	0.90681	0.90682	26	0	16
2025.01.02	03:27:00	0.90682	0.90690	0.90682	0.90686	23	0	16
2025.01.02	03:28:00	0.90686	0.90688	0.90684	0.90685	11	0	15
2025.01.02	03:29:00	0.90685	0.90696	0.90685	0.90693	21	0	15
2025.01.02	03:30:00	0.90694	0.90696	0.90680	0.90688	24	0	16
2025.01.02	03:31:00	0.90687	0.90699	0.90685	0.90698	23	0	16
2025.01.02	03:32:00	0.90698	0.90716	0.90697	0.90713	20	0	17
2025.01.02	03:33:00	0.90713	0.90713	0.90702	0.90702	14	0	17
2025.01.02	03:34:00	0.90702	0.90706	0.90696	0.90698	18	0	17
2025.01.02	03:35:00	0.90698	0.90698	0.90684	0.90684	23	0	17
2025.01.02	03:36:00	0.90684	0.90688	0.90681	0.90682	26	0	17
2025.01.02	03:37:00	0.90682	0.90687	0.90679	0.90684	24	0	16
2025.01.02	03:38:00	0.90684	0.90688	0.90683	0.90686	25	0	16
2025.01.02	03:39:00	0.90686	0.90686	0.90677	0.90680	19	0	15
2025.01.02	03:40:00	0.90680	0.90680	0.90666	0.90668	19	0	17
2025.01.02	03:41:00	0.90669	0.90669	0.90649	0.90653	21	0	16
2025.01.02	03:42:00	0.90654	0.90657	0.90649	0.90649	18	0	17
2025.01.02	03:43:00	0.90649	0.90649	0.90640	0.90645	25	0	17
2025.01.02	03:44:00	0.90646	0.90647	0.90643	0.90643	12	0	17
2025.01.02	03:45:00	0.90643	0.90646	0.90640	0.90642	20	0	16
2025.01.02	03:46:00	0.90642	0.90645	0.90639	0.90640	14	0	16
2025.01.02	03:47:00	0.90640	0.90640	0.90631	0.90631	12	0	15
2025.01.02	03:48:00	0.90631	0.90631	0.90623	0.90625	20	0	17
2025.01.02	03:49:00	0.90625	0.90626	0.90623	0.90626	9	0	17
2025.01.02	03:50:00	0.90626	0.90627	0.90623	0.90624	16	0	16
2025.01.02	03:51:00	0.90624	0.90624	0.90599	0.90601	18	0	16
2025.01.02	03:52:00	0.90601	0.90605	0.90600	0.90602	17	0	19
2025.01.02	03:53:00	0.90602	0.90612	0.90602	0.90611	21	0	19
2025.01.02	03:54:00	0.90611	0.90611	0.90601	0.90602	10	0	18
2025.01.02	03:55:00	0.90602	0.90602	0.90595	0.90598	12	0	18
2025.01.02	03:56:00	0.90598	0.90602	0.90594	0.90602	18	0	17
2025.01.02	03:57:00	0.90602	0.90603	0.90596	0.90596	15	0	18
2025.01.02	03:58:00	0.90596	0.90606	0.90596	0.90601	24	0	18
2025.01.02	03:59:00	0.90601	0.90604	0.90597	0.90601	24	0	17
2025.01.02	04:00:00	0.90601	0.90601	0.90592	0.90593	24	0	17
2025.01.02	04:01:00	0.90593	0.90597	0.90588	0.90592	22	0	16
2025.01.02	04:02:00	0.90592	0.90597	0.90592	0.90594	19	0	16
2025.01.02	04:03:00	0.90594	0.90595	0.90592	0.90592	11	0	16
2025.01.02	04:04:00	0.90592	0.90596	0.90585	0.90587	21	0	16
2025.01.02	04:05:00	0.90587	0.90591	0.90586	0.90590	12	0	18
2025.01.02	04:06:00	0.90590	0.90592	0.90589	0.90590	9	0	15
2025.01.02	04:07:00	0.90590	0.90591	0.90586	0.90587	14	0	15
2025.01.02	04:08:00	0.90587	0.90590	0.90587	0.90587	12	0	14
2025.01.02	04:09:00	0.90587	0.90588	0.90573	0.90574	10	0	14
2025.01.02	04:10:00	0.90574	0.90574	0.90568	0.90570	6	0	18
2025.01.02	04:11:00	0.90570	0.90575	0.90570	0.90574	8	0	16
2025.01.02	04:12:00	0.90574	0.90579	0.90574	0.90579	9	0	14
2025.01.02	04:13:00	0.90579	0.90583	0.90578	0.90583	15	0	14
2025.01.02	04:14:00	0.90583	0.90583	0.90578	0.90578	11	0	14
2025.01.02	04:15:00	0.90578	0.90583	0.90578	0.90580	9	0	14
2025.01.02	04:16:00	0.90579	0.90582	0.90579	0.90582	4	0	14
2025.01.02	04:17:00	0.90582	0.90585	0.90580	0.90582	18	0	14
2025.01.02	04:18:00	0.90582	0.90582	0.90571	0.90571	17	0	14
2025.01.02	04:19:00	0.90571	0.90573	0.90570	0.90572	8	0	15
2025.01.02	04:20:00	0.90572	0.90576	0.90571	0.90572	13	0	15
2025.01.02	04:21:00	0.90572	0.90573	0.90569	0.90571	10	0	15
2025.01.02	04:22:00	0.90571	0.90573	0.90570	0.90573	8	0	15
2025.01.02	04:23:00	0.90573	0.90573	0.90553	0.90553	17	0	16
2025.01.02	04:24:00	0.90553	0.90555	0.90540	0.90541	16	0	19
2025.01.02	04:25:00	0.90541	0.90547	0.90540	0.90546	21	0	19
2025.01.02	04:26:00	0.90546	0.90547	0.90540	0.90545	14	0	19
2025.01.02	04:27:00	0.90545	0.90551	0.90544	0.90551	18	0	19
2025.01.02	04:28:00	0.90551	0.90552	0.90548	0.90548	9	0	17
2025.01.02	04:29:00	0.90548	0.90549	0.90546	0.90546	12	0	16
2025.01.02	04:30:00	0.90546	0.90550	0.90541	0.90543	14	0	16
2025.01.02	04:31:00	0.90543	0.90549	0.90543	0.90548	19	0	16
2025.01.02	04:32:00	0.90548	0.90552	0.90548	0.90552	13	0	16
2025.01.02	04:33:00	0.90552	0.90554	0.90550	0.90554	14	0	15
2025.01.02	04:34:00	0.90554	0.90558	0.90549	0.90552	18	0	16
2025.01.02	04:35:00	0.90553	0.90558	0.90553	0.90556	16	0	18
2025.01.02	04:36:00	0.90558	0.90559	0.90552	0.90552	14	0	17
2025.01.02	04:37:00	0.90552	0.90558	0.90552	0.90554	11	0	17
2025.01.02	04:38:00	0.90554	0.90557	0.90554	0.90555	8	0	17
2025.01.02	04:39:00	0.90555	0.90557	0.90548	0.90548	11	0	17
2025.01.02	04:40:00	0.90548	0.90549	0.90543	0.90544	13	0	17
2025.01.02	04:41:00	0.90544	0.90547	0.90542	0.90543	13	0	17
2025.01.02	04:42:00	0.90543	0.90545	0.90541	0.90543	8	0	17
2025.01.02	04:43:00	0.90543	0.90544	0.90542	0.90544	8	0	16
2025.01.02	04:44:00	0.90544	0.90544	0.90541	0.90543	10	0	15
2025.01.02	04:45:00	0.90542	0.90545	0.90541	0.90542	15	0	15
2025.01.02	04:46:00	0.90542	0.90543	0.90541	0.90543	16	0	15
2025.01.02	04:47:00	0.90543	0.90544	0.90528	0.90528	31	0	14
2025.01.02	04:48:00	0.90527	0.90530	0.90523	0.90523	12	0	19
2025.01.02	04:49:00	0.90523	0.90523	0.90510	0.90510	8	0	19
2025.01.02	04:50:00	0.90510	0.90512	0.90510	0.90512	15	0	18
2025.01.02	04:51:00	0.90512	0.90513	0.90511	0.90511	13	0	17
2025.01.02	04:52:00	0.90511	0.90514	0.90511	0.90513	13	0	16
2025.01.02	04:53:00	0.90513	0.90513	0.90512	0.90512	4	0	15
2025.01.02	04:54:00	0.90512	0.90515	0.90512	0.90514	7	0	14
2025.01.02	04:55:00	0.90514	0.90514	0.90512	0.90512	12	0	15
2025.01.02	04:56:00	0.90513	0.90514	0.90506	0.90506	13	0	14
2025.01.02	04:57:00	0.90506	0.90507	0.90505	0.90507	9	0	17
2025.01.02	04:58:00	0.90507	0.90514	0.90506	0.90513	8	0	17
